Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-03-11220,Defra Contribution to the establishment of National Trails UK,"To support the establishment of a new Charitable Incorporated Organisation (CIO) to represent the interests of the National Trails including the England Coast Path. 
Following successful recognition as a charity, and with an initial focus on building the structures to form the new organisation, National Trails UK will work towards its vision by prioritising and developing action plans to deliver work across a series of strategic themes which have emerged from consultation across the
Trails partnership covering:
 Advocacy
 Policy and strategy
 Information exchange
 Training
 Fundraising
 Marketing and promotion

It is felt that a new CIO will, on behalf of the general public, increase the resilience
of the National Trails family to:
 Improve the long-term management and sustainability of the National Trails as national assets
 Adapt to current and likely future changing and challenging financial circumstances
 Withstand challenges better and respond to opportunities more rapidly and in a coordinated way
 Look at new ideas and test new ways of working as a family of National Trails",160000.00,2022-04-01,2023-03-31,General Grant - Uncompeted,12,"Recreation, culture and religion",Natural Environment and Rural Communities Act 2006
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2022-03-11225,Grant Contribution to National Wildlife Crime Unit,"The National Wildlife Crime Unit (NWCU) is a police-led specialist unit devoted to tackling or disrupting national and international wildlife crime.
The project contributes to the prevention and detection of wildlife crime both in the United Kingdom
(UK) and internationally by;
a) maintaining a strategic overview of wildlife crime in the UK and making recommendations for wildlife crime priorities for the UK; b) supporting work to tackle the wildlife crime priorities;

c) continuing to support enforcement officers in tackling wildlife crime professionally;

d) contributing to the National Crime Agency national tasking process as required through its membership of the Acquisitive Crime Threat Board.",368000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Environmental protection,Natural Environment and Rural Communities Act 2006
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-03-11229,Catalyst Fund,Ongoing funding for Local Digital Skills Partnerships in 8 regions,257500.00,2022-04-01,2023-03-31,General Grant - Competed,12,"Recreation, culture and religion",Local Government Act 2003
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-03-11231,Creative Careers Programme,"Deliver specialist creative career advice, information and guidance for young people to address information and coordination failures, and skills gaps and shortages.",197089.00,2022-04-01,2025-03-31,General Grant - Competed,36,Education,Charities Act 2006
"Department for Digital, Culture, Media & Sport",Office of Communications (Ofcom),G2-SCH-2022-03-11232,Community Radio Fund,To support the growth of the community radio sector,500000.00,2022-04-01,2025-03-31,General Grant - Competed,36,"Recreation, culture and religion",Charities Act 2006
Department for Transport,Department for Transport,G2-SCH-2022-03-11238,CPC Research and Innovation Collaboration,To help DfT influence the development of near to market transport technologies to support DfT Strategic Priorities.,839170.40,2022-04-01,2023-03-31,General Grant - Competed,12,General public services,Transport Act 2000
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-03-11241,Capital Letters,Funding for London boroughs to procure additional rental properties,5784450.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,Housing and community amenities,Housing and Regeneration Act 2008
Department for Transport,Department for Transport,G2-SCH-2022-03-11243,HMT Economic Data Innovation Fund,"This project brings together DfT with three Urban Observatories (UOs) based at University of Newcastle, University of Birmingham, and University of Manchester to support C-19 recovery, decarbonisation and levelling up - at regional and national scales - through the use of near real time transport-related sensor data. The Turing Institute and the Connected Places Catapult were on-boarded during the project, and there has been on-going engagement with OGDs and local authorities.",306282.94,2022-04-01,2023-03-31,General Grant - Uncompeted,12,General public services,Transport Act 2000
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2022-03-11247,"Brownfield, Infrastructure & Land (BIL) Fund","New funding for delivery of housing through land acquisition and remediation and infrastructure grants, to be delivered through a mixture of Homes England-led activity and devolution to local areas",400000.00,2022-04-01,2033-03-31,General Grant - Competed,132,Housing and community amenities,"Housing Grants, Construction and Regeneration Act 1996"
Department for Transport,Active Travel England,G2-SCH-2022-03-11249,LA Capacity Buidling,"To create a national network of experts to work with communities, enhance high streets and make places truly walkable and cyclable for everyone.",33754340.00,2022-04-01,2023-03-31,Formula Grant,12,General public services,Local Government Act 2003
Home Office,Home Office,G2-SCH-2022-03-11251,Migration and Economic Development Partnership (MEDP) Economic Transformation and Integration Fund,To support the Government of Rwanda to achieve its Vision 2050 and National Strategy for Transformation,120000000.00,2022-04-01,2027-03-31,General Grant - Uncompeted,60,General public services,"Nationality, Immigration & Asylum Act 2002"
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2022-03-11253,Made Smarter Adoption,"To improve the productivity, efficiency and resilience of manufacturing SMEs through supporting the adoption of industrial digital technology",8000000.00,2022-04-01,2025-03-31,General Grant - Mixed,36,Economics affairs,Local Government Act 2003
Department for Transport,"Department for Business, Energy and Industrial Strategy",G2-SCH-2022-03-11254,Commercialising Connected and Automotive Mobility (CCAM),To secure the industrial and economic benefits of Connected and Automated Mobility,33000000.00,2022-04-01,2025-03-31,General Grant - Mixed,36,Economics affairs,Industrial Development Act 1982
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",G2-SCH-2022-03-11260,Floating Offshore Wind Demonstration Programme,To demonstrate the benefits of floating offshore wind technology,7025975.00,2021-04-01,2025-03-31,General Grant - Mixed,48,Environmental protection,Industrial Development Act 1982
